id,dgo_geomorph,dgo_veg,dgo_hydro,dgo_impacts,dgo_beaver,dgos,dgo_desc,dgos_poly_count,all_equal
1012010102,19929,19929,19929,19929,19929,22839,19929,20864,False
1012010301,17980,17980,17980,17980,17980,20103,17980,19073,False
1012010403,18463,18463,18463,18463,18463,22970,18463,19529,False
1012010701,11260,11260,11260,11260,11260,12216,11260,11592,False
1012010604,9327,9327,9327,9327,9327,10771,9327,9853,False
1012010402,10326,10326,10326,10326,10326,12795,10326,10799,False
1012010802,9812,9812,9812,9812,9812,12165,9812,10255,False
1012011208,8901,8901,8901,8901,8901,10598,8901,9332,False
1012010705,8523,8523,8523,8523,8523,9395,8523,8746,False
1012010906,7347,7347,7347,7347,7347,8220,7347,7568,False
1012011306,5240,5240,5240,5240,5240,6411,5240,5517,False
1012011206,4719,4719,4719,4719,4719,5501,4719,4930,False
1012011109,4756,4756,4756,4756,4756,5447,4756,4934,False
1012010902,4164,4164,4164,4164,4164,4547,4164,4251,False
1012010302,31832,31832,31832,31832,31832,37288,31832,34230,False
1012010304,32006,32006,32006,32006,32006,36941,32006,33943,False
1012010103,30406,30406,30406,30406,30406,34364,30406,32370,False
1012010702,29543,29543,29543,29543,29543,32953,29543,31009,False
1012010803,12741,12741,12741,12741,12741,14739,12741,13508,False
1012010801,13776,13776,13776,13776,13776,16562,13776,14544,False
1012010603,7303,7303,7303,7303,7303,8117,7303,7499,False
1012010303,21337,21337,21337,21337,21337,25216,21337,22964,False
1012010202,16747,16747,16747,16747,16747,19060,16747,17768,False
1012010504,16366,16366,16366,16366,16366,18930,16366,17233,False
1012010501,13518,13518,13518,13518,13518,15406,13518,14414,False
1012010101,13975,13975,13975,13975,13975,15556,13975,14531,False
1012010305,14041,14041,14041,14041,14041,17670,14041,14926,False
1012010704,13432,13432,13432,13432,13432,15767,13432,14166,False
1012010703,13141,13141,13141,13141,13141,13899,13141,13356,False
1012010605,13106,13106,13106,13106,13106,15378,13106,13708,False
1012010601,12075,12075,12075,12075,12075,14616,12075,12835,False
1012010401,9923,9923,9923,9923,9923,12024,9923,10353,False
1012011202,10250,10250,10250,10250,10250,11920,10250,10706,False
1012010602,9589,9589,9589,9589,9589,11255,9589,10159,False
1012010905,7896,7896,7896,7896,7896,9443,7896,8274,False
1012010201,11893,11893,11893,11893,11893,13252,11893,12322,False
1012011311,6782,6782,6782,6782,6782,7885,6782,7101,False
1012010910,5555,5555,5555,5555,5555,6453,5555,5764,False
1012010502,5404,5404,5404,5404,5404,6375,5404,5619,False
1012011003,6122,6122,6122,6122,6122,7025,6122,6359,False
1012011104,5494,5494,5494,5494,5494,6237,5494,5672,False
1012011105,5784,5784,5784,5784,5784,6539,5784,5987,False
1012011103,5447,5447,5447,5447,5447,5815,5447,5575,False
1012011211,5060,5060,5060,5060,5060,5743,5060,5245,False
1012011309,5534,5534,5534,5534,5534,7478,5534,5970,False
1012011201,5302,5302,5302,5302,5302,6145,5302,5504,False
1012011209,5384,5384,5384,5384,5384,6161,5384,5492,False
1012010503,8595,8595,8595,8595,8595,10432,8595,8999,False
1012010908,9360,9360,9360,9360,9360,10326,9360,9626,False
1012010907,4699,4699,4699,4699,4699,6280,4699,4959,False
1012011210,4695,4695,4695,4695,4695,5518,4695,4934,False
1012011304,5363,5363,5363,5363,5363,6729,5363,5653,False
1012011207,4237,4237,4237,4237,4237,4901,4237,4389,False
1012011108,4644,4644,4644,4644,4644,5415,4644,4837,False
1012011307,4688,4688,4688,4688,4688,6207,4688,4999,False
1012010911,4520,4520,4520,4520,4520,6033,4520,4749,False
1012010903,4418,4418,4418,4418,4418,4970,4418,4582,False
1012011303,4548,4548,4548,4548,4548,5986,4548,4818,False
1012011308,4087,4087,4087,4087,4087,5054,4087,4324,False
1012011107,4068,4068,4068,4068,4068,4675,4068,4228,False
1012010904,3075,3075,3075,3075,3075,3425,3075,3158,False
1012011101,2378,2378,2378,2378,2378,2871,2378,2467,False
1012011301,2549,2549,2549,2549,2549,3466,2549,2724,False
1012011102,2454,2454,2454,2454,2454,2783,2454,2552,False
1012011205,2541,2541,2541,2541,2541,2941,2541,2583,False
1012011203,2316,2316,2316,2316,2316,2786,2316,2437,False
1012011204,2283,2283,2283,2283,2283,2783,2283,2387,False
1012011305,1989,1989,1989,1989,1989,2788,1989,2127,False
1012011302,1459,1459,1459,1459,1459,2052,1459,1543,False
1008000712,11388,11388,11388,11388,11388,13613,11388,11845,False
1008000107,9388,9388,9388,9388,9388,9752,9388,9523,False
1008000506,7987,7987,7987,7987,7987,8836,7987,8135,False
1008000505,7699,7699,7699,7699,7699,8232,7699,7825,False
1008001202,37121,37121,37121,37121,37121,37693,37121,37594,False
1008000902,32889,32889,32889,32889,32889,33716,32889,33468,False
1008000104,30728,30728,30728,30728,30728,31540,30728,31233,False
1008001302,25899,25899,25899,25899,25899,26407,25899,26269,False
1008000705,22126,22126,22126,22126,22126,23786,22126,22384,False
1008001602,20303,20303,20303,20303,20303,21301,20303,20692,False
1008001203,19806,19806,19806,19806,19806,20219,19806,20089,False
1008000102,18709,18709,18709,18709,18709,19358,18709,19087,False
1008000805,16196,16196,16196,16196,16196,16790,16196,16329,False
1008000302,15096,15096,15096,15096,15096,15866,15096,15365,False
1008000701,15133,15133,15133,15133,15133,15653,15133,15393,False
1008001404,12229,12229,12229,12229,12229,12708,12229,12362,False
1008000202,9715,9715,9715,9715,9715,10618,9715,9893,False
1008000801,7368,7368,7368,7368,7368,8654,7368,7633,False
1008000603,6365,6365,6365,6365,6365,6921,6365,6496,False
1008000504,4704,4704,4704,4704,4704,5251,4704,4805,False
1008000706,17322,17322,17322,17322,17322,18664,17322,17748,False
1008001401,16129,16129,16129,16129,16129,17056,16129,16498,False
1008000703,15860,15860,15860,15860,15860,16606,15860,16148,False
1008001001,12314,12314,12314,12314,12314,12587,12314,12478,False
1008001201,11337,11337,11337,11337,11337,11516,11337,11483,False
1008001009,4670,4670,4670,4670,4670,4926,4670,4742,False
1008001003,16793,16793,16793,16793,16793,18251,16793,17201,False
1008000301,13364,13364,13364,13364,13364,14304,13364,13654,False
1008000711,15553,15553,15553,15553,15553,17806,15553,16154,False
1008001301,15600,15600,15600,15600,15600,15877,15600,15818,False
1008000802,14342,14342,14342,14342,14342,15016,14342,14563,False
1008000901,15994,15994,15994,15994,15994,16355,15994,16267,False
